,種目,氏名,記録,風,備考,区分
0,走高跳,足達哲也,-,-,DNS,決勝
1,走高跳,小林拓巳,NM,-,NM,
2,走高跳,足達哲也,DNS,-,DNS,
3,走幅跳,西嶋健人,5.64,+0.7,PB,
4,走幅跳,安智潤,DNS,-,DNS,
5,走高跳,小河雅広,1.90,-,-,
6,走高跳,小林拓己,1.95,-,-,
7,走高跳,足達哲也,NM,-,NM,
8,走幅跳,西嶋健人,DNS,-,DNS,
9,三段跳,小林拓己,DNS,-,DNS,
10,走高跳,小林拓己,2.00,-,-,
11,走高跳,足達哲也,DNS,-,DNS,
